Lead ID,Last Name,Lead Source,Lead Status,Address - City,Age,Gender,Policy Type,Premium Amount,Follow Up Count,Agent Name,Lead Date
LEAD0853,Arunima Bose,Direct Agent,Negotiation,Unknown,28.0,Male,Group Health,68367.0,5.0,Rajesh Sharma,2024-06-23
LEAD0192,Nikita Kale,Website,Closed Won,Bengaluru,43.0,Male,Family Floater,31157.0,3.0,Karan Mehta,2023-11-15
LEAD0631,Harrison Khatri,Agent Referral,Quote Sent,Kolkata,67.0,Female,Senior Citizen,66570.0,3.0,Suresh Pillai,2023-05-02
LEAD0367,Jagdish Wali,Direct Agent,Quote Sent,Hyderabad,31.0,Male,Individual Health,16420.0,4.0,Rajesh Sharma,2024-09-08
LEAD0178,Manya Kalita,Website,Negotiation,Jaipur,59.0,Male,Senior Citizen,70360.0,3.0,Suresh Pillai,2023-03-05
LEAD0246,Geetika Merchant,Google Ads,Closed Won,Bengaluru,38.0,Female,Individual Health,7916.0,4.0,Rajesh Sharma,2023-11-09
LEAD0557,Advay Aggarwal,Social Media,Negotiation,Bengaluru,39.0,Other,Individual Health,15999.0,4.0,Meena Gupta,2023-07-25
LEAD0915,Ishita Kata,Agent Referral,Closed Won,Ahmedabad,29.0,Female,Individual Health,12533.0,1.0,Vikram Joshi,2024-07-31
LEAD0349,Atharv Shah,Social Media,Lead,Kolkata,31.0,Male,Individual Health,10327.0,0.0,Priya Nair,2023-10-31
LEAD0344,Girindra Yadav,Google Ads,Negotiation,Hyderabad,18.0,Male,Individual Health,11776.0,4.0,Priya Nair,2024-07-01
LEAD0110,Aradhana Pal,Website,Negotiation,Bengaluru,37.0,Female,Family Floater,31329.0,5.0,Rajesh Sharma,2024-11-01
LEAD0829,Ridhi Bhargava,Email Campaign,Closed Won,Kolkata,38.0,Male,Group Health,74886.0,4.0,Amit Verma,2024-11-26
LEAD0607,Warhi Keer,Agent Referral,Closed Won,Delhi,44.0,Female,Family Floater,30240.0,7.0,Rajesh Sharma,2023-11-06
LEAD0939,Ekantika Jhaveri,Website,Closed Lost,Delhi,53.0,Female,Individual Health,134815.08987449,2.0,Deepa Iyer,2024-10-11
LEAD0692,Krish Kamdar,Unknown,Quote Sent,Mumbai,36.0,Female,Family Floater,20793.0,1.0,Sneha Reddy,2023-06-15
LEAD0168,Ekapad Mall,Direct Agent,Closed Won,Pune,49.0,Male,Critical Illness,21110.0,0.0,Amit Verma,2024-08-14
LEAD0701,Triveni Kumer,Website,Contacted,Indore,28.0,Male,Individual Health,11908.0,0.0,Priya Nair,2024-02-29
LEAD0792,Yashica Gopal,Agent Referral,Closed Won,Hyderabad,35.0,Male,Family Floater,18635.0,4.0,Amit Verma,2024-04-14
LEAD0870,Warinder Mann,Social Media,Contacted,Bengaluru,37.0,Female,Critical Illness,11936.0,1.0,Suresh Pillai,2024-02-03
LEAD0610,Reyansh Bhavsar,Google Ads,Closed Won,Bhopal,36.0,Female,Family Floater,28999.0,4.0,Rajesh Sharma,2024-06-08
LEAD0862,Watika Comar,Direct Agent,Closed Won,Kolkata,20.0,Female,Individual Health,10170.0,2.0,Vikram Joshi,2023-02-22
LEAD0810,Shivansh Kashyap,Walk-in,Contacted,Ahmedabad,43.0,Female,Family Floater,17095.0,2.0,Suresh Pillai,2024-06-14
LEAD0690,Saumya Lal,Website,Closed Lost,Chennai,57.0,Male,Senior Citizen,74336.0,3.0,Rajesh Sharma,2024-02-14
LEAD0369,Oscar Dey,Agent Referral,Negotiation,Unknown,37.0,Female,Family Floater,19974.0,5.0,Karan Mehta,2023-12-27
LEAD0296,Vasana Bal,Other,Closed Won,Mumbai,26.0,Female,Individual Health,7961.0,4.0,Anjali Singh,2023-12-30
LEAD0847,Bhavika Suresh,Social Media,Negotiation,Kolkata,65.0,Female,Senior Citizen,94040.0,4.0,Vikram Joshi,2024-12-12
LEAD0114,Oni Balay,Agent Referral,Quote Sent,Bengaluru,39.0,Male,Family Floater,23472.0,2.0,Sneha Reddy,2023-04-21
LEAD0649,Balendra Chaudhari,Direct Agent,Closed Lost,Coimbatore,41.0,Female,Critical Illness,17377.0,4.0,Rajesh Sharma,2023-11-17
LEAD0818,Jai Kala,Google Ads,Negotiation,Surat,41.0,Male,Individual Health,9329.0,3.0,Amit Verma,2023-11-19
LEAD0226,Raagini Walia,Google Ads,Quote Sent,Lucknow,28.0,Female,Individual Health,8527.0,2.0,Karan Mehta,2024-10-11
LEAD0301,Ekbal Lall,Website,Closed Lost,Surat,30.0,Female,Family Floater,29501.0,2.0,Amit Verma,2024-12-25
LEAD0908,Chaitaly Das,Website,Closed Won,Chennai,40.0,Female,Individual Health,7262.0,2.0,Priya Nair,2023-09-08
LEAD0968,Fiyaz Pant,Agent Referral,Contacted,Delhi,55.0,Female,Senior Citizen,23738.0,3.0,Anjali Singh,2024-07-04
LEAD0153,Sachi Dhingra,Walk-in,Closed Won,Ahmedabad,43.0,Female,Individual Health,19974.0,1.0,Anjali Singh,2023-02-05
LEAD0675,Umang Bali,Website,Closed Lost,Mumbai,55.0,Male,Senior Citizen,53413.0,3.0,Deepa Iyer,2023-10-03
LEAD0004,Idika Sinha,Google Ads,Closed Lost,Indore,44.0,Male,Critical Illness,9947.0,4.0,Vikram Joshi,2024-01-23
LEAD0813,Warinder Krishnamurthy,Agent Referral,Closed Won,Chennai,68.0,Male,Senior Citizen,42125.0,3.0,Sneha Reddy,2023-10-23
LEAD0553,Advaith Sachar,Website,Closed Lost,Hyderabad,61.0,Male,Senior Citizen,27704.0,1.0,Karan Mehta,2023-09-15
LEAD0612,Yashawini Dhaliwal,Agent Referral,Closed Won,Coimbatore,47.0,Female,Individual Health,17684.0,1.0,Rajesh Sharma,2023-07-18
LEAD0101,Niharika Chander,Social Media,Contacted,Pune,31.0,Female,Critical Illness,19974.0,1.0,Anjali Singh,2024-09-22
LEAD0594,Laban Soni,Walk-in,Closed Won,Delhi,43.0,Female,Family Floater,22011.0,9.0,Amit Verma,2024-10-23
LEAD0840,Anika Shenoy,Other,Lead,Lucknow,67.0,female,Senior Citizen,61843.0,2.0,Sneha Reddy,2024-10-27
LEAD0049,Vrishti Sarin,Direct Agent,Lead,Hyderabad,38.0,Male,Family Floater,31139.0,3.0,Anjali Singh,2024-02-03
LEAD0837,Lohit Pandit,Social Media,Negotiation,Surat,41.0,Male,Individual Health,9597.0,3.0,Vikram Joshi,2024-11-25
LEAD0617,Azaan Ahluwalia,Google Ads,Closed Lost,Delhi,68.0,Male,Senior Citizen,35340.0,2.0,Priya Nair,2023-03-22
LEAD0494,Chakradhar Edwin,Walk-in,Closed Lost,Delhi,35.0,Male,Family Floater,18880.0,3.0,Deepa Iyer,2024-04-13
LEAD0879,Banjeet Kara,Agent Referral,Lead,Pune,41.0,Female,Group Health,64062.0,3.0,Anjali Singh,2023-07-17
LEAD0900,Zaid Swaminathan,Google Ads,Contacted,Pune,40.0,Male,Individual Health,11004.0,5.0,Amit Verma,2023-10-21
LEAD0058,Gaurika Chauhan,Google Ads,Negotiation,Kolkata,60.0,Male,Individual Health,19160.0,2.0,Rajesh Sharma,2024-03-06
LEAD0288,Tanish Vig,Agent Referral,Closed Won,Kolkata,42.0,Female,Individual Health,9062.0,2.0,Rajesh Sharma,2023-03-05
LEAD0276,Madhav Lanka,Social Media,Closed Lost,Pune,57.0,Male,Individual Health,13810.0,4.0,Rajesh Sharma,2023-01-13
LEAD0209,Aarini Setty,Google Ads,Closed Lost,Ahmedabad,36.0,Male,Critical Illness,15111.0,5.0,Karan Mehta,2024-11-18
LEAD0345,Oni Badal,Google Ads,Closed Won,Mumbai,37.0,Female,Family Floater,33948.0,4.0,Vikram Joshi,2024-04-30
LEAD0890,Oeshi Arora,Agent Referral,Closed Won,Pune,45.0,Female,Family Floater,24209.0,2.0,Priya Nair,2024-10-06
LEAD0327,Patrick Hayre,Email Campaign,Closed Lost,Mumbai,61.0,Male,Senior Citizen,61496.0,1.0,Priya Nair,2023-08-19
LEAD0835,Andrew Edwin,Google Ads,Negotiation,Bengaluru,25.0,Male,Individual Health,10168.0,1.0,Sneha Reddy,2023-05-15
LEAD0682,Abha Puri,Email Campaign,Quote Sent,Patna,18.0,Male,Family Floater,11819.0,1.0,Rajesh Sharma,2023-03-20
LEAD0926,Jagrati Dara,Website,Quote Sent,Hyderabad,31.0,Male,Critical Illness,11063.0,0.0,Suresh Pillai,2024-11-16
LEAD0886,Vedika Choudhry,Agent Referral,Contacted,Mumbai,34.0,Male,Critical Illness,14543.0,3.0,Amit Verma,2023-02-22
LEAD0137,Nikita Sathe,Direct Agent,Negotiation,Lucknow,40.0,Female,Individual Health,90012.84678003,1.0,Anjali Singh,2023-07-18
LEAD0936,Alexander Sharaf,Social Media,Contacted,Mumbai,44.0,Female,Individual Health,11453.0,5.0,Anjali Singh,2024-09-07
LEAD0736,Omisha Bera,Website,Quote Sent,Mumbai,18.0,Female,Group Health,61024.0,3.0,Priya Nair,2023-01-21
LEAD0515,Elijah Anne,Direct Agent,Closed Won,Indore,65.0,Female,Senior Citizen,57234.0,8.0,Vikram Joshi,2023-08-02
LEAD0563,Faraj Badami,Agent Referral,Closed Won,Hyderabad,61.0,Male,Senior Citizen,37368.0,1.0,Suresh Pillai,2024-03-24
LEAD0924,Geetika Suri,Email Campaign,Closed Won,Hyderabad,36.0,Male,Group Health,52862.0,5.0,Deepa Iyer,2024-06-02
LEAD0351,George Mukhopadhyay,Direct Agent,Contacted,Ahmedabad,40.0,Male,Critical Illness,189652.990034192,2.0,Priya Nair,2023-04-06
LEAD0085,Amrita Doshi,Email Campaign,Contacted,Ahmedabad,36.0,Male,Group Health,61767.0,2.0,Rajesh Sharma,2024-05-29
LEAD0155,Mohammed Chatterjee,Direct Agent,Closed Lost,Hyderabad,39.0,Male,Individual Health,12758.0,2.0,Rajesh Sharma,2023-07-10
LEAD0584,Luke Sandhu,Google Ads,Contacted,Mumbai,56.0,Other,Individual Health,11719.0,9.0,Vikram Joshi,2024-08-20
LEAD0302,Varsha Srinivasan,Website,Closed Lost,Delhi,34.0,Female,Individual Health,8643.0,6.0,Deepa Iyer,2023-05-11
LEAD0704,Warhi Jha,Google Ads,Closed Lost,Ahmedabad,45.0,Female,Critical Illness,17690.0,6.0,Deepa Iyer,2024-12-31
LEAD0064,Falan Mallick,Agent Referral,Closed Won,Mumbai,41.0,Male,Individual Health,8863.0,1.0,Karan Mehta,2023-07-09
LEAD0779,Harita Randhawa,Website,Contacted,Pune,69.0,Female,Senior Citizen,40218.0,4.0,Rajesh Sharma,2023-05-27
LEAD0225,Damini Sankaran,Website,Lead,Unknown,41.0,Male,Family Floater,28077.0,1.0,Sneha Reddy,2024-11-27
LEAD0615,Atharv Sarna,Agent Referral,Contacted,Delhi,18.0,Male,Critical Illness,9513.0,3.0,Anjali Singh,2024-06-22
LEAD0783,Brijesh Krishnan,Walk-in,Closed Won,Jaipur,39.0,Male,Critical Illness,19479.0,0.0,Karan Mehta,2023-05-05
LEAD0705,Chaitaly Chakrabarti,Social Media,Negotiation,Bhopal,43.0,Female,Individual Health,15520.0,3.0,Anjali Singh,2024-06-24
LEAD0309,Neelima Sidhu,Agent Referral,Quote Sent,Chennai,35.0,Female,Individual Health,16046.0,7.0,Sneha Reddy,2024-07-21
LEAD0141,Pavani Grover,Direct Agent,Closed Won,Delhi,36.0,Male,Individual Health,7758.0,0.0,Amit Verma,2023-05-30
LEAD0125,Pallavi Swaminathan,Social Media,Closed Lost,Pune,69.0,Male,Senior Citizen,97796.0,4.0,Anjali Singh,2024-05-20
LEAD0133,Gavin Choudhury,Social Media,Quote Sent,Lucknow,56.0,Male,Senior Citizen,71391.0,3.0,Karan Mehta,2024-12-02
LEAD0887,Jagvi Chauhan,Google Ads,Quote Sent,Ahmedabad,38.0,Male,Group Health,19974.0,3.0,Meena Gupta,2024-07-16
LEAD0950,Nathaniel Balakrishnan,Website,Lead,Ahmedabad,19.0,Female,Individual Health,6800.0,2.0,Vikram Joshi,2023-04-20
LEAD0502,Idika Mahajan,Agent Referral,Closed Lost,Surat,19.0,Male,Individual Health,12643.0,4.0,Meena Gupta,2023-10-23
LEAD0231,Vritti Banerjee,Website,Closed Lost,Pune,51.0,Male,Individual Health,15476.0,0.0,Amit Verma,2024-02-10
LEAD0587,Dipta Merchant,Walk-in,Closed Won,Kolkata,38.0,Female,Family Floater,32287.0,1.0,Amit Verma,2024-04-21
LEAD0075,Vivaan Maharaj,Other,Contacted,Coimbatore,70.0,Female,Senior Citizen,89756.0,0.0,Rajesh Sharma,2023-06-29
LEAD0417,Wakeeta Sachdev,Website,Closed Won,Mumbai,53.0,Male,Family Floater,27873.0,1.0,Priya Nair,2023-02-06
LEAD0575,Quincy Natt,Email Campaign,Closed Won,Pune,34.0,Male,Family Floater,17763.0,3.0,Rajesh Sharma,2024-07-04
LEAD0806,Megha Bhakta,Direct Agent,Contacted,Unknown,41.0,Female,Family Floater,12475.0,6.0,Vikram Joshi,2024-02-23
LEAD0490,Gauri Saran,Email Campaign,Closed Lost,Bengaluru,68.0,Male,Senior Citizen,57736.0,5.0,Suresh Pillai,2024-02-28
LEAD0465,Hredhaan Dyal,Social Media,Closed Lost,Delhi,53.0,Female,Family Floater,42203.0,4.0,Deepa Iyer,2024-01-02
LEAD0716,Dayita Peri,Other,Quote Sent,Hyderabad,52.0,Male,Individual Health,18630.0,1.0,Anjali Singh,2023-05-26
LEAD0805,Panini Gala,Website,Closed Lost,Delhi,60.0,Male,Individual Health,31668.0,3.0,Rajesh Sharma,2024-05-27
LEAD0082,Anvi Datta,Email Campaign,Contacted,Bhopal,43.0,Male,Individual Health,9754.0,3.0,Sneha Reddy,2024-06-03
LEAD0811,Qabil Pandya,Website,Closed Won,Jaipur,36.0,Male,Family Floater,19974.0,6.0,Vikram Joshi,2024-02-26
LEAD0787,Michael Swaminathan,Agent Referral,Closed Won,Pune,21.0,Female,Individual Health,5239.0,0.0,Priya Nair,2024-11-18
LEAD0116,Xavier Pradhan,Direct Agent,Closed Lost,Mumbai,59.0,Female,Senior Citizen,57159.0,3.0,Amit Verma,2023-07-05
LEAD0523,Hemani Mahajan,Agent Referral,Closed Won,Bengaluru,64.0,F,Senior Citizen,67143.0,3.0,Priya Nair,2023-03-14
LEAD0139,Lucky Shankar,Agent Referral,Closed Won,Kolkata,21.0,Female,Critical Illness,13221.0,6.0,Amit Verma,2023-06-14
LEAD0130,Meera Shah,Website,Negotiation,Unknown,35.0,Female,Family Floater,24632.0,3.0,Suresh Pillai,2024-02-01
LEAD0585,Onkar Bhagat,Email Campaign,Quote Sent,Delhi,59.0,Female,Family Floater,21429.0,2.0,Rajesh Sharma,2024-10-04
LEAD0267,Rehaan Barad,Direct Agent,Closed Won,Ahmedabad,44.0,Female,Family Floater,32177.0,3.0,Karan Mehta,2023-10-30
LEAD0127,Luke Gopal,Website,Closed Lost,Mumbai,44.0,Male,Individual Health,7039.0,5.0,Rajesh Sharma,2023-10-21
LEAD0462,Tristan Sarna,Agent Referral,Lead,Jaipur,36.0,Male,Group Health,52333.0,2.0,Suresh Pillai,2023-03-23
LEAD0801,Chatresh Ravi,Website,Negotiation,Mumbai,62.0,Male,Critical Illness,34844.0,4.0,Priya Nair,2023-03-22
LEAD0655,Tamanna Munshi,Social Media,Quote Sent,Bhopal,52.0,Female,Family Floater,36245.0,3.0,Suresh Pillai,2024-05-18
LEAD0944,Veda Sarkar,Direct Agent,Contacted,Delhi,64.0,Male,Critical Illness,24000.0,5.0,Vikram Joshi,2023-12-10
LEAD0897,Gauri Bhargava,Agent Referral,Closed Won,Kolkata,40.0,Male,Critical Illness,8522.0,2.0,Rajesh Sharma,2023-08-18
LEAD0454,Imaran Bhardwaj,Agent Referral,Negotiation,Jaipur,65.0,Female,Senior Citizen,31364.0,1.0,Sneha Reddy,2024-12-03
LEAD0263,Ojas Bawa,Website,Quote Sent,Jaipur,47.0,Female,Individual Health,13473.0,2.0,Anjali Singh,2023-04-16
LEAD0435,Amol Agrawal,Agent Referral,Negotiation,Ahmedabad,69.0,Female,Senior Citizen,35696.0,4.0,Deepa Iyer,2024-05-14
LEAD0357,Luke Joshi,Email Campaign,Quote Sent,Indore,22.0,Female,Individual Health,5798.0,7.0,Priya Nair,2023-10-12
LEAD0391,Netra Dey,Agent Referral,Closed Won,Mumbai,62.0,Male,Senior Citizen,36742.0,1.0,Amit Verma,2023-05-12
LEAD0910,Garima Boase,Direct Agent,Closed Won,Jaipur,24.0,Female,Individual Health,10564.0,4.0,Rajesh Sharma,2023-06-27
LEAD0665,Mohammed Naidu,Google Ads,Closed Won,Bengaluru,63.0,Male,Senior Citizen,31007.0,3.0,Karan Mehta,2024-09-03
LEAD0007,Jackson Hayre,Google Ads,Closed Lost,Unknown,30.0,Male,Family Floater,18334.0,2.0,Anjali Singh,2023-02-27
LEAD0636,Irya Pandit,Google Ads,Closed Won,Mumbai,29.0,Male,Critical Illness,18686.0,7.0,Priya Nair,2024-07-05
LEAD0542,Ekapad Bhardwaj,Google Ads,Lead,Bengaluru,64.0,Female,Senior Citizen,37350.0,5.0,Deepa Iyer,2024-07-06
LEAD0955,Omya Sem,Google Ads,Negotiation,Mumbai,26.0,Male,Individual Health,11710.0,5.0,Priya Nair,2023-04-05
LEAD0596,Nidhi Chowdhury,Email Campaign,Contacted,Bengaluru,39.0,Male,Individual Health,8634.0,4.0,Meena Gupta,2024-09-25
LEAD0041,Oscar Tata,Google Ads,Contacted,Coimbatore,25.0,Male,Critical Illness,7532.0,4.0,Amit Verma,2024-07-15
LEAD0979,Pranit Majumdar,Agent Referral,Closed Won,Bengaluru,33.0,Male,Individual Health,12421.0,5.0,Deepa Iyer,2024-02-19
LEAD0639,Chandani Das,Social Media,Contacted,Indore,52.0,Male,Critical Illness,24073.0,1.0,Amit Verma,2023-02-18
LEAD0308,Yadavi Bawa,Unknown,Negotiation,Coimbatore,37.0,Male,Individual Health,5856.0,2.0,Suresh Pillai,2024-12-22
LEAD0018,Nidra Zachariah,Agent Referral,Negotiation,Indore,34.0,Female,Individual Health,16779.0,0.0,Priya Nair,2023-05-16
LEAD0457,Ekaja Arya,Email Campaign,Closed Won,Bengaluru,35.0,Female,Critical Illness,22043.0,3.0,Rajesh Sharma,2023-06-08
LEAD0836,Vedika Bera,Unknown,Contacted,Indore,28.0,Female,Family Floater,27808.0,3.0,Rajesh Sharma,2024-12-13
LEAD0373,Watika Gara,Google Ads,Lead,Bengaluru,36.0,Female,Group Health,44125.0,4.0,Meena Gupta,2024-12-02
LEAD0519,Dayamai Chad,Direct Agent,Closed Won,Bhopal,19.0,Male,Individual Health,15240.0,4.0,Rajesh Sharma,2024-06-12
LEAD0861,Jack Hayer,Walk-in,Negotiation,Surat,41.0,Male,Critical Illness,7527.0,6.0,Vikram Joshi,2024-09-15
LEAD0549,Shivani Palla,Website,Contacted,Chennai,30.0,Male,Group Health,64117.0,3.0,Priya Nair,2024-11-30
LEAD0815,Shravya Varghese,Email Campaign,Closed Won,Unknown,53.0,Male,Family Floater,17643.0,5.0,Rajesh Sharma,2024-10-13
LEAD0426,Chakrika Aurora,Agent Referral,Closed Lost,Chennai,64.0,Female,Critical Illness,27163.0,1.0,Anjali Singh,2024-01-16
LEAD0019,Januja Goswami,Social Media,Negotiation,Lucknow,28.0,Male,Individual Health,12735.0,7.0,Sneha Reddy,2024-03-09
LEAD0033,Ganga Raju,Agent Referral,Quote Sent,Unknown,41.0,Female,Family Floater,28525.0,0.0,Deepa Iyer,2023-12-29
LEAD0054,Darika Mann,Walk-in,Closed Won,Mumbai,57.0,Female,Individual Health,12201.0,4.0,Meena Gupta,2023-02-11
LEAD0715,Indira Swamy,Direct Agent,Lead,Coimbatore,41.0,Female,Group Health,46267.0,0.0,Sneha Reddy,2023-05-04
LEAD0499,Viraj Kale,Direct Agent,Negotiation,Hyderabad,19.0,M,Individual Health,10612.0,1.0,Suresh Pillai,2023-07-26
LEAD0237,Krisha Nath,Website,Lead,Bhopal,51.0,Male,Family Floater,40755.0,3.0,Karan Mehta,2024-11-04
LEAD0408,Chandani Arora,Unknown,Quote Sent,Mumbai,32.0,Female,Critical Illness,21474.0,6.0,Rajesh Sharma,2024-11-25
LEAD0517,Harrison Sankar,Email Campaign,Quote Sent,Bengaluru,66.0,Female,Senior Citizen,86410.0,8.0,Rajesh Sharma,2023-09-01
LEAD0254,Ijaya Vasa,Website,Quote Sent,Kolkata,41.0,Female,Individual Health,9342.0,7.0,Amit Verma,2024-08-09
LEAD0893,Zinal Nagarajan,Unknown,Quote Sent,Patna,41.0,Male,Individual Health,19974.0,6.0,Karan Mehta,2023-01-13
LEAD0079,Chasmum Sastry,Google Ads,Negotiation,Surat,69.0,Male,Senior Citizen,72693.0,1.0,Vikram Joshi,2023-10-22
LEAD0438,Meera Mistry,Direct Agent,Lead,Delhi,35.0,Female,Individual Health,8209.0,3.0,Karan Mehta,2023-08-04
LEAD0561,Zinal Palla,Website,Negotiation,Mumbai,39.0,Female,Group Health,64442.0,0.0,Amit Verma,2023-02-26
LEAD0043,Baljiwan Varghese,Direct Agent,Closed Won,Pune,40.0,Male,Critical Illness,13653.0,4.0,Deepa Iyer,2023-08-19
LEAD0466,Jai Gole,Website,Closed Lost,Delhi,47.0,Male,Individual Health,16136.0,3.0,Meena Gupta,2024-03-29
LEAD0724,Omisha Sehgal,Agent Referral,Closed Won,Bengaluru,38.0,Male,Individual Health,10989.0,1.0,Priya Nair,2024-09-21
LEAD0028,Kashish Dhingra,Direct Agent,Quote Sent,Mumbai,47.0,Male,Individual Health,21680.0,3.0,Vikram Joshi,2023-11-06
LEAD0681,Bhavna Suresh,Website,Contacted,Delhi,46.0,Female,Family Floater,19424.0,1.0,Amit Verma,2024-03-23
LEAD0771,Rayaan Basak,Social Media,Quote Sent,Chennai,41.0,Female,Individual Health,12843.0,1.0,Anjali Singh,2024-12-15
LEAD0026,Mohammed Khare,Website,Negotiation,Ahmedabad,67.0,Male,Individual Health,15190.0,3.0,Deepa Iyer,2023-11-18
LEAD0896,Agastya Suresh,Direct Agent,Closed Won,Nagpur,24.0,Female,Family Floater,28703.0,4.0,Vikram Joshi,2023-10-01
LEAD0545,Yashasvi Sankaran,Website,Contacted,Mumbai,58.0,Female,Individual Health,13955.0,4.0,Anjali Singh,2023-09-16
LEAD0272,Jeet Kohli,Google Ads,Contacted,Surat,48.0,Female,Family Floater,15815.0,3.0,Sneha Reddy,2023-09-02
LEAD0972,Balvan Nadig,Email Campaign,Quote Sent,Ahmedabad,55.0,Male,Senior Citizen,39897.0,5.0,Sneha Reddy,2023-08-06
LEAD0135,George Gole,Social Media,Closed Won,Mumbai,47.0,Female,Critical Illness,14153.0,5.0,Rajesh Sharma,2023-12-11
LEAD0106,Ayushman Madan,Direct Agent,Closed Won,Lucknow,30.0,Male,Individual Health,14619.0,4.0,Rajesh Sharma,2024-03-07
LEAD0008,Vidhi Khanna,Walk-in,Contacted,Mumbai,49.0,Male,Family Floater,32039.0,2.0,Priya Nair,2024-05-26
LEAD0746,Harini Khosla,Agent Referral,Closed Won,Mumbai,41.0,Female,Critical Illness,21485.0,2.0,Amit Verma,2024-10-03
LEAD0293,Lopa Pradhan,Website,Closed Lost,Bhopal,38.0,Male,Family Floater,22340.0,5.0,Anjali Singh,2024-01-27
LEAD0974,Baljiwan Bhakta,Walk-in,Closed Won,Delhi,36.0,Male,Family Floater,24359.0,5.0,Deepa Iyer,2023-07-27
LEAD0859,Noah Golla,Website,Closed Lost,Mumbai,25.0,Male,Individual Health,12946.0,0.0,Suresh Pillai,2023-01-11
LEAD0683,Vamakshi Subramanian,Social Media,Closed Lost,Jaipur,56.0,Male,Family Floater,26179.0,6.0,Karan Mehta,2023-01-17
LEAD0320,Veer Bhatia,Unknown,Closed Lost,Bengaluru,59.0,Male,Family Floater,49433.0,4.0,Rajesh Sharma,2023-12-06
LEAD0777,Aachal Pall,Agent Referral,Quote Sent,Kolkata,25.0,Male,Critical Illness,11864.0,4.0,Priya Nair,2023-04-24
LEAD0633,Xavier Gour,Google Ads,Closed Lost,Ahmedabad,71.0,Male,Senior Citizen,33512.0,3.0,Sneha Reddy,2023-06-10
LEAD0559,Sanaya Tara,Agent Referral,Closed Won,Lucknow,24.0,Female,Family Floater,27260.0,3.0,Rajesh Sharma,2023-02-08
LEAD0833,Gaurika Desai,Social Media,Contacted,Delhi,41.0,Female,Critical Illness,22535.0,1.0,Rajesh Sharma,2023-07-03
LEAD0259,Onkar Bali,Website,Contacted,Kolkata,57.0,Female,Individual Health,27386.0,5.0,Rajesh Sharma,2023-04-12
LEAD0421,Samuel Keer,Google Ads,Quote Sent,Pune,36.0,Female,Group Health,73554.0,1.0,Karan Mehta,2023-12-14
LEAD0120,Pranit Comar,Agent Referral,Contacted,Delhi,18.0,Male,Individual Health,7055.0,3.0,Rajesh Sharma,2024-03-16
